"","color_index","color_rgb","mean_response","v_index","L","a","b","C","H","r_rgb","g_rgb","b_rgb","r255","g255","b255","color_hex"
"1",4,"#077acc",0.597338709677419,"V5",50,2.6168,-49.931,49.99952403,273.0000311,0.02815,0.47995,0.80007,7.17825,122.38725,204.01785,"#077acc"
"2",5,"#2e3086",0.255403225806452,"V6",25,27.583,-48.623,55.9018606,299.565504,0.17927,0.18835,0.5261,45.71385,48.02925,134.1555,"#2e3086"
"3",7,"#600b84",0.165483870967742,"V8",25,52.548,-47.315,70.71068893,317.9996578,0.37742,0.042633,0.5195,96.2421,10.871415,132.4725,"#600b84"
"4",8,"#a553c8",0.310322580645161,"V9",50,52.548,-47.315,70.71068893,317.9996578,0.64719,0.32647,0.78598,165.03345,83.24985,200.4249,"#a553c8"
"5",10,"#4dc7e8",0.667258064516129,"V11",75,-23.657,-26.274,35.3550099,228.00026,0.30294,0.78057,0.90983,77.2497,199.04535,232.00665,"#4dc7e8"
"6",11,"#1c3d61",0.266370967741935,"V12",25,1.3084,-24.966,25.00026133,272.9999711,0.11078,0.23798,0.38006,28.2489,60.6849,96.9153,"#1c3d61"
"7",14,"#512d5f",0.164032258064516,"V15",25,26.274,-23.657,35.3550099,318.00026,0.31571,0.17533,0.37401,80.50605,44.70915,95.37255,"#512d5f"
"8",17,"#72005e",0.225645161290323,"V18",25,51.24,-22.349,55.90183719,336.4349439,0.44844,0.0010157,0.36856,114.3522,0.2590035,93.9828,"#72005e"
"9",20,"#39f6e0",0.623145161290323,"V21",88,-49.931,-2.6168,49.99952403,183.0000311,0.22415,0.96405,0.87881,57.15825,245.83275,224.09655,"#39f6e0"
"10",21,"#3b8378",0.387903225806452,"V22",50,-24.966,-1.3084,25.00026133,182.9999711,0.23228,0.51203,0.47224,59.2314,130.56765,120.4212,"#3b8378"
"11",25,"#3b3b3b",0.045241935483871,"V26",25,0,0,0,0,0.23251,0.23251,0.23251,59.29005,59.29005,59.29005,"#3b3b3b"
"12",26,"#777777",0.113548387096774,"V27",50,0,0,0,0,0.46633,0.46633,0.46633,118.91415,118.91415,118.91415,"#777777"
"13",27,"#b9b9b9",0.297177419354839,"V28",75,0,0,0,0,0.7239,0.7239,0.7239,184.5945,184.5945,184.5945,"#b9b9b9"
"14",29,"#dddddd",0.456935483870968,"V30",88,0,0,0,0,0.86539,0.86539,0.86539,220.67445,220.67445,220.67445,"#dddddd"
"15",30,"#5e2b3a",0.157822580645161,"V31",25,24.966,1.3084,25.00026133,2.999971123,0.36814,0.16901,0.22803,93.8757,43.09755,58.14765,"#5e2b3a"
"16",32,"#e6a8b7",0.466370967741935,"V33",75,24.966,1.3084,25.00026133,2.999971123,0.90215,0.65899,0.71809,230.04825,168.04245,183.11295,"#e6a8b7"
"17",37,"#184415",0.311048387096774,"V38",25,-26.274,23.657,35.3550099,138.00026,0.093053,0.26787,0.081612,23.728515,68.30685,20.81106,"#184415"
"18",44,"#eddcad",0.629596774193548,"V45",88,-1.3084,24.966,25.00026133,92.99997112,0.92752,0.86218,0.67984,236.5176,219.8559,173.3592,"#eddcad"
"19",50,"#0e8a19",0.464838709677419,"V51",50,-52.548,47.315,70.71068893,137.9996578,0.054615,0.54224,0.099689,13.926825,138.2712,25.420695,"#0e8a19"
"20",57,"#d0b85a",0.799838709677419,"V58",75,-2.6168,49.931,49.99952403,93.0000311,0.81654,0.7198,0.35358,208.2177,183.549,90.1629,"#d0b85a"
"21",58,"#f7db7c",0.805564516129032,"V59",88,-2.6168,49.931,49.99952403,93.0000311,0.96685,0.86069,0.48682,246.54675,219.47595,124.1391,"#f7db7c"
"22",66,"#aac510",0.708709677419355,"V67",75,-28.891,73.589,79.05713631,111.4349439,0.66567,0.77075,0.06092,169.74585,196.54125,15.5346,"#aac510"
"23",67,"#d0e942",0.829677419354839,"V68",88,-28.891,73.589,79.05713631,111.4349439,0.815,0.9138,0.25817,207.825,233.019,65.83335,"#d0e942"
"24",68,"#d5b811",0.885967741935484,"V69",75,-3.9252,74.897,74.99978536,93.0000111,0.83409,0.72019,0.066708,212.69295,183.64845,17.01054,"#d5b811"
"25",69,"#fcdb42",0.944112903225806,"V70",88,-3.9252,74.897,74.99978536,93.0000111,0.98973,0.86065,0.25739,252.38115,219.46575,65.63445,"#fcdb42"
"26",70,"#fba714",0.8025,"V71",75,21.041,76.206,79.05743556,74.56480543,0.9829,0.65643,0.078187,250.6395,167.38965,19.937685,"#fba714"
